Category,Category_code
Agriculture,1
Chemicals,2
Energy,3
FMCG,4
Finance,5
Healthcare,6
Hospitality,7
IT & Telecom,8
Infrastructure,9
Logistics,10
Manufacturing,11
Misc,12
